geom,cartodb_id,nombre,cl_pandemia_cerraron,longitud,latitud
POINT(-99.170298 19.417549),178,Foro Sunland,,"-99,17029778","19,41754898"
POINT(-99.17304 19.396312),3,Teatro en Corto,15/03/2020 0:00:00,"-99,1730397","19,3963123"
POINT(-99.084087 19.389458),165,Punto G Army,31/03/2020 0:00:00,"-99,0840869","19,3894583"
POINT(-99.158045 19.412055),163,Las musas de papá sibarita,31/03/2020 0:00:00,"-99,158045","19,412055"
POINT(-99.10991 19.397431),164,Casa de Cultura Las Jarillas,31/03/2020 0:00:00,"-99,10991","19,397431"
POINT(-99.133319 19.391034),61,HPH Centro Cultural,23/03/2020 0:00:00,"-99,133319","19,391034"
POINT(-99.136101 19.42413),60,El 61 (Ruta 61),23/03/2020 0:00:00,"-99,136101","19,42413"
POINT(-99.156891 19.42534),52,Foro Cultural Goya,23/03/2020 0:00:00,"-99,156891","19,42534"
POINT(-99.138373 19.363266),51,Raíces Centro Cultural,23/03/2020 0:00:00,"-99,138373","19,363266"
POINT(-99.165682 19.413578),56,Multiforo 246,23/03/2020 0:00:00,"-99,1656822","19,4135782"
POINT(-99.095371 19.320261),63,Foro KultivARTE,23/03/2020 0:00:00,"-99,0953708","19,32026084"
POINT(-99.163051 19.427288),53,Somos Voces,23/03/2020 0:00:00,"-99,163051","19,427288"
POINT(-99.161436 19.386008),62,Arte3,23/03/2020 0:00:00,"-99,161436","19,386008"
POINT(-99.171659 19.412268),57,Foro Doméstico,23/03/2020 0:00:00,"-99,171659","19,412268"
POINT(-99.285699 19.376537),54,Foro Escena Cafetería,23/03/2020 0:00:00,"-99,285699","19,376537"
POINT(-99.134117 19.491543),55,The Hell Rock,23/03/2020 0:00:00,"-99,13411673","19,49154314"
POINT(-99.119905 19.291332),59,Káosz Studio,23/03/2020 0:00:00,"-99,119905","19,291332"
POINT(-99.124076 19.425561),58,Centro Cultural Keren Tá Merced,23/03/2020 0:00:00,"-99,124076","19,425561"
POINT(-99.163664 19.421868),176,Gato calavera,17/08/2020 0:00:00,"-99,1636637","19,4218677"
POINT(-99.128798 19.423562),28,316 Centro,18/03/2020 0:00:00,"-99,12879803","19,42356236"
POINT(-99.168512 19.37014),29,Centro Cultural El Hormiguero,18/03/2020 0:00:00,"-99,16851195","19,3701398"
POINT(-99.116408 19.458712),30,Foro La Santa Cruz,18/03/2020 0:00:00,"-99,116408","19,458712"
POINT(-99.168103 19.416925),71,La vie en rose,29/03/2020 0:00:00,"-99,168103","19,416925"
POINT(-99.162121 19.43849),173,Foro Off Spring,25/06/2020 0:00:00,"-99,162121","19,43849"
POINT(-99.16212 19.438489),174,Foro Reyna Barrera (Dentro del Espacio Universitario de Cultura Off Spring),25/06/2020 0:00:00,"-99,1621198","19,4384892"
POINT(-99.136286 19.434346),177,Distrito Urbano CDMX,18/12/2020 0:00:00,"-99,136286","19,434346"
POINT(-99.147827 19.397882),49,Teatro Bellescense,21/03/2020 0:00:00,"-99,147827","19,397882"
POINT(-99.178333 19.416467),50,Sala Marlowe,21/03/2020 0:00:00,"-99,178333","19,416467"
POINT(-99.086311 19.485489),48,Casa Esmeralda,21/03/2020 0:00:00,"-99,086311","19,485489"
POINT(-99.15089 19.347138),47,Crescendo,21/03/2020 0:00:00,"-99,15089","19,347138"
POINT(-99.043806 19.326944),175,Foro Quetzalpilli,11/07/2020 0:00:00,"-99,043806","19,326944"
POINT(-99.15426 19.421572),2,MultiForo Alicia,13/03/2020 0:00:00,"-99,15426","19,4215716"
POINT(-99.155977 19.43579),11,Foro Juana Cata,16/03/2020 0:00:00,"-99,155977","19,43579"
POINT(-99.163775 19.442356),6,Salón Numantina,16/03/2020 0:00:00,"-99,163775","19,442356"
POINT(-99.153366 19.420292),14,Galera Espacio cultural,16/03/2020 0:00:00,"-99,15336649","19,42029222"
POINT(-99.164828 19.415919),5,Jazztlán Capital,16/03/2020 0:00:00,"-99,1648283","19,4159187"
POINT(-99.154591 19.452354),8,Teatro Milán,16/03/2020 0:00:00,"-99,154591","19,452354"
POINT(-99.164895 19.352236),10,La Titería,16/03/2020 0:00:00,"-99,164895","19,352236"
POINT(-99.202514 19.436501),13,Café K-OZ Foro Cultural,16/03/2020 0:00:00,"-99,202514","19,436501"
POINT(-99.165145 19.425524),4,Foro Amberes,16/03/2020 0:00:00,"-99,165145","19,425524"
POINT(-99.185361 19.355183),7,Foro 18*69,16/03/2020 0:00:00,"-99,18536116","19,35518333"
POINT(-99.159299 19.350752),12,Teatro en Corto Coyoacán,16/03/2020 0:00:00,"-99,159299","19,350752"
POINT(-99.186474 19.280921),9,Foro Cultural SUTM,16/03/2020 0:00:00,"-99,18647366","19,28092144"
POINT(-99.090703 19.410516),171,Ikal Bej,9/04/2020 0:00:00,"-99,090703","19,410516"
POINT(-99.120803 19.366197),166,Café El Patio,1/04/2020 0:00:00,"-99,120803","19,366197"
POINT(-99.157257 19.419617),167,Foro Cultural Lenin,1/04/2020 0:00:00,"-99,157257","19,419617"
POINT(-99.097572 19.233785),64,Café Minuet,24/03/2020 0:00:00,"-99,097572","19,233785"
POINT(-99.184617 19.406682),65,Teatro Lúcido,24/03/2020 0:00:00,"-99,1846171","19,4066822"
POINT(-99.136361 19.440723),168,Espacio Teatral MH-35,4/04/2020 0:00:00,"-99,1363611","19,4407234"
POINT(-99.133858 19.399188),69,Foro La Cura,27/03/2020 0:00:00,"-99,133858","19,399188"
POINT(-98.995252 19.221552),35,Casa de Cultura Olla de Piedra,19/03/2020 0:00:00,"-98,99525222","19,22155242"
POINT(-99.159854 19.412006),40,Foro Roma Condesa,19/03/2020 0:00:00,"-99,15985433","19,41200577"
POINT(-99.086359 19.214122),33,Casa de Cultura de San Salvador Cuatenco,19/03/2020 0:00:00,"-99,08635879","19,21412232"
POINT(-99.070519 19.206905),32,Casa de cultura de San Bartolomé Xicomulco,19/03/2020 0:00:00,"-99,07051857","19,20690456"
POINT(-99.051429 19.201597),36,Cuartel artístico del Sur,19/03/2020 0:00:00,"-99,0514285","19,20159699"
POINT(-99.118903 19.228859),41,Metal Rose Kafé,19/03/2020 0:00:00,"-99,118903","19,228859"
POINT(-99.138208 19.43753),38,El Pixcuhuil,19/03/2020 0:00:00,"-99,13820831","19,43753013"
POINT(-99.064568 19.216224),34,Museo Cuartel Zapatista,19/03/2020 0:00:00,"-99,06456776","19,21622351"
POINT(-99.176298 19.3499),31,La Mano,19/03/2020 0:00:00,"-99,17629825","19,34989986"
POINT(-99.1509 19.433499),42,Bucardón,19/03/2020 0:00:00,"-99,1508997","19,4334995"
POINT(-99.154434 19.44449),39,Foro Gato Negro UTA,19/03/2020 0:00:00,"-99,15443412","19,44449003"
POINT(-99.194069 19.287734),37,Foro El Elefante,19/03/2020 0:00:00,"-99,19406882","19,28773433"
POINT(-99.16362 19.427743),172,Hojas de Té,1/05/2020 0:00:00,"-99,16362","19,427743"
POINT(-99.156415 19.43082),126,Parker & Lenox,30/03/2020 0:00:00,"-99,156415","19,43082"
POINT(-99.095458 19.321869),79,Cervecería y parrilla La Clande Shoteria,30/03/2020 0:00:00,"-99,095458","19,321869"
POINT(-99.163667 19.41625),131,Foro el centro de salud,30/03/2020 0:00:00,"-99,163667","19,41625"
POINT(-99.139502 19.388848),136,Carpa Astros,30/03/2020 0:00:00,"-99,1395017","19,3888478"
POINT(-99.144293 19.43324),161,Club Atlántico,30/03/2020 0:00:00,"-99,144293","19,43324"
POINT(-99.181898 19.37005),150,Teatro El Telón de Asfalto,30/03/2020 0:00:00,"-99,181898","19,37005"
POINT(-99.165239 19.349335),108,Los Talleres,30/03/2020 0:00:00,"-99,165239","19,349335"
POINT(-99.135636 19.450133),128,Centro Cultural Macario Matus,30/03/2020 0:00:00,"-99,135636","19,450133"
POINT(-99.182768 19.437102),104,Teatro Ofelia,30/03/2020 0:00:00,"-99,1827678","19,4371016"
POINT(-99.172831 19.409392),156,Woko Taberna,30/03/2020 0:00:00,"-99,172831","19,4093919"
POINT(-99.144512 19.415526),159,Segunda sección del Museo del Juguete Antiguo México,30/03/2020 0:00:00,"-99,144512","19,415526"
POINT(-99.171741 19.400202),106,Centro Cultural Roldán Sandoval,30/03/2020 0:00:00,"-99,171741","19,400202"
POINT(-99.139962 19.367792),112,Café Jazzorca,30/03/2020 0:00:00,"-99,139962","19,367792"
POINT(-99.158241 19.418889),133,"Casa del Poeta ""Ramón López Velarde""",30/03/2020 0:00:00,"-99,158241","19,418889"
POINT(-99.162475 19.416729),139,Foro Tecuicanime,30/03/2020 0:00:00,"-99,162475","19,416729"
POINT(-99.194369 19.286701),103,Foro Elefante,30/03/2020 0:00:00,"-99,194369","19,286701"
POINT(-99.176767 19.415671),129,"Centro Cultural Sylvia Pasquel (Foro Claudia, Foro Nahui Ollin, Foro Vivi, Foro Sugar, Foro Virginia Woolf, Foro Aldanza, Foro Tacón dorado )",30/03/2020 0:00:00,"-99,176767","19,415671"
POINT(-99.151518 19.431412),148,Bucareli 69 Casa de Artes,30/03/2020 0:00:00,"-99,1515177","19,4314117"
POINT(-99.162123 19.417601),81,Pan y Circo,30/03/2020 0:00:00,"-99,1621227","19,4176007"
POINT(-99.164863 19.326041),135,"Centro de Artes y Oficios
 Escuelita Emiliano
 Zapata Centro de Artes y Oficios",30/03/2020 0:00:00,"-99,164863","19,3260412"
POINT(-99.18638 19.280035),105,Karpa Demente,30/03/2020 0:00:00,"-99,18638","19,280035"
POINT(-99.163657 19.435413),147,Anglo Arts Centre,30/03/2020 0:00:00,"-99,1636565","19,4354132"
POINT(-99.203316 19.439016),127,Fatcrow,30/03/2020 0:00:00,"-99,2033164","19,4390158"
POINT(-99.173134 19.420167),83,Beer Hall,30/03/2020 0:00:00,"-99,1731337","19,4201673"
POINT(-99.164193 19.350629),142,Centro de Arte Dramático A. C. CADAC,30/03/2020 0:00:00,"-99,164193","19,350629"
POINT(-99.160452 19.409008),73,Casa de Mora,30/03/2020 0:00:00,"-99,1604522","19,4090076"
POINT(-99.018861 19.372889),90,Foro Los Arcos,30/03/2020 0:00:00,"-99,018861","19,372889"
POINT(-99.161859 19.417743),84,Departamento,30/03/2020 0:00:00,"-99,16185929","19,41774275"
POINT(-99.13247 19.426596),86,Central Funk,30/03/2020 0:00:00,"-99,1324697","19,4265959"
POINT(-99.139734 19.432864),93,Foro Gante,30/03/2020 0:00:00,"-99,139734","19,432864"
POINT(-99.156262 19.416718),102,Foro Indie Rocks,30/03/2020 0:00:00,"-99,1562616","19,4167181"
POINT(-99.154167 19.428861),100,El 77 Centro Cultural Autogestivo,30/03/2020 0:00:00,"-99,154167","19,428861"
POINT(-99.156498 19.416664),157,Centro Cultural Border,30/03/2020 0:00:00,"-99,156498","19,416664"
POINT(-99.159364 19.419035),138,La Teatrería,30/03/2020 0:00:00,"-99,1593643","19,4190346"
POINT(-99.160558 19.40894),85,Cine Tonalá,30/03/2020 0:00:00,"-99,1605578","19,4089399"
POINT(-99.137834 19.428192),137,Centro Cultural Clínica Regina,30/03/2020 0:00:00,"-99,1378343","19,4281917"
POINT(-99.159352 19.427709),145,Foro 37,30/03/2020 0:00:00,"-99,159352","19,427709"
POINT(-99.150028 19.438332),88,Hilvana,30/03/2020 0:00:00,"-99,150028","19,438332"
POINT(-99.163426 19.346031),134,El albergue del arte TADECO,30/03/2020 0:00:00,"-99,163426","19,346031"
POINT(-99.185179 19.412804),130,Casa del Humor,30/03/2020 0:00:00,"-99,18517873","19,41280378"
POINT(-99.003528 19.266944),143,Museo regional comunitario Cuitláhuac,30/03/2020 0:00:00,"-99,003528","19,266944"
POINT(-99.163368 19.356946),153,Foro Viena,30/03/2020 0:00:00,"-99,16336797","19,35694563"
POINT(-99.136857 19.436053),154,Arte 206,30/03/2020 0:00:00,"-99,13685663","19,43605316"
POINT(-99.031298 19.337794),122,Casa de Cultura Imaginarte,30/03/2020 0:00:00,"-99,03129785","19,33779435"
POINT(-99.153959 19.423787),123,Dada X,30/03/2020 0:00:00,"-99,1539593","19,4237875"
POINT(-99.125838 19.406171),120,Circo Volador,30/03/2020 0:00:00,"-99,125838","19,406171"
POINT(-99.152404 19.383076),155,Apeiron Teatro,30/03/2020 0:00:00,"-99,152404","19,383076"
POINT(-99.14553 19.391723),95,Teatro Emilliere,30/03/2020 0:00:00,"-99,1455298","19,3917225"
POINT(-99.137598 19.432975),101,Pasagüero,30/03/2020 0:00:00,"-99,137598","19,432975"
POINT(-99.180597 19.392623),114,Foro Contigo América,30/03/2020 0:00:00,"-99,180597","19,392623"
POINT(-99.137097 19.416875),124,Centro Cultural Carretera 45 Teatro,30/03/2020 0:00:00,"-99,137097","19,416875"
POINT(-99.141755 19.427179),149,"Foro ""El Mundano""",30/03/2020 0:00:00,"-99,141755","19,427179"
POINT(-99.164192 19.35742),99,Sala Novo (Teatro La Capilla),30/03/2020 0:00:00,"-99,164192","19,35742"
POINT(-99.099573 19.497138),116,Centro profesional de la danza,30/03/2020 0:00:00,"-99,099573","19,497138"
POINT(-99.172368 19.415937),140,El círculo teatral,30/03/2020 0:00:00,"-99,172368","19,415937"
POINT(-99.157551 19.41908),82,Casa Franca,30/03/2020 0:00:00,"-99,157551","19,41908"
POINT(-99.179297 19.416289),121,Multiforo Bajo Circuito,30/03/2020 0:00:00,"-99,17929746","19,41628853"
POINT(-99.163788 19.345485),118,Danzite Coffe Art Club,30/03/2020 0:00:00,"-99,1637878","19,3454853"
POINT(-99.092131 19.471088),160,Fundación culturato,30/03/2020 0:00:00,"-99,092131","19,471088"
POINT(-99.158774 19.418284),72,Foro del Tejedor,30/03/2020 0:00:00,"-99,158774","19,418284"
POINT(-99.148639 19.362125),75,El Convite,30/03/2020 0:00:00,"-99,148639","19,362125"
POINT(-99.164004 19.419111),115,Centro De la Diversidad Cultural Mèxico,30/03/2020 0:00:00,"-99,1640044","19,4191112"
POINT(-99.165486 19.44113),110,Teatro Renacimiento Centro Teatral Manolo Fábregas,30/03/2020 0:00:00,"-99,1654863","19,4411298"
POINT(-99.137172 19.433929),91,Zinco Jazz Club,30/03/2020 0:00:00,"-99,1371721","19,4339285"
POINT(-99.185692 19.387817),125,La Calaca Espacio Cultural,30/03/2020 0:00:00,"-99,185692","19,387817"
POINT(-99.154807 19.396847),87,Chapata Vive Café,30/03/2020 0:00:00,"-99,154807","19,396847"
POINT(-99.160038 19.415789),78,Broka Bistro,30/03/2020 0:00:00,"-99,16003763","19,41578865"
POINT(-99.164152 19.357402),98,La Capilla Teatro,30/03/2020 0:00:00,"-99,1641515","19,3574019"
POINT(-99.154905 19.349442),132,Casa de Artes y Circo Contemporáneo A.C,30/03/2020 0:00:00,"-99,1549051","19,34944248"
POINT(-99.169537 19.41454),74,Frëims,30/03/2020 0:00:00,"-99,169537","19,41454"
POINT(-99.13557 19.434044),76,Pata Negra,30/03/2020 0:00:00,"-99,13557","19,434044"
POINT(-99.199822 19.366361),94,AGS MUSIC SCHOOL,30/03/2020 0:00:00,"-99,199822","19,366361"
POINT(-99.128224 19.425123),109,Atea,30/03/2020 0:00:00,"-99,12822412","19,42512309"
POINT(-99.164521 19.400145),146,Foro El Cubo,30/03/2020 0:00:00,"-99,164521","19,400145"
POINT(-99.179328 19.375298),77,Bar Berlín,30/03/2020 0:00:00,"-99,179328","19,375298"
POINT(-99.172074 19.416213),151,Cineclub Condesa DF,30/03/2020 0:00:00,"-99,172074","19,416213"
POINT(-99.203681 19.501085),117,Foro Piedra de Sol,30/03/2020 0:00:00,"-99,203681","19,501085"
POINT(-99.143731 19.429837),158,"Punto Gozadera, La Gozadera",30/03/2020 0:00:00,"-99,143731","19,429837"
POINT(-99.143049 19.43813),97,"La Nana, Fábrica de creación e innovación",30/03/2020 0:00:00,"-99,143049","19,4381296"
POINT(-99.163172 19.344244),144,Teatro Rafael Solana,30/03/2020 0:00:00,"-99,1631717","19,34424433"
POINT(-99.156743 19.430028),92,Foro Lucerna,30/03/2020 0:00:00,"-99,156743","19,430028"
POINT(-99.1741 19.3495),113,"Foro El Tinglado ""Lola Cueto""",30/03/2020 0:00:00,"-99,1741","19,3495"
POINT(-99.141218 19.367839),80,Pizza Jazz,30/03/2020 0:00:00,"-99,141218","19,367839"
POINT(-99.002639 19.270806),119,Centro Cultural Castillo,30/03/2020 0:00:00,"-99,002639","19,270806"
POINT(-99.167698 19.415264),141,Sala de teatro “Así que pasen cinco años”,30/03/2020 0:00:00,"-99,167698","19,415264"
POINT(-99.161115 19.348538),152,Sala Cultural Tauro,30/03/2020 0:00:00,"-99,161115","19,348538"
POINT(-99.187069 19.465749),162,Clavería 22,30/03/2020 0:00:00,"-99,187069","19,465749"
POINT(-99.15554 19.4119),89,Art House Teatro,30/03/2020 0:00:00,"-99,15554",
POINT(-99.161524 19.415619),107,Sensorama,30/03/2020 0:00:00,"-99,161524","19,415619"
POINT(-99.166958 19.40876),96,Centro Cultural el Foco,30/03/2020 0:00:00,"-99,166958","19,40876"
POINT(-99.164152 19.357402),111,Teatro Bar el Vicio,30/03/2020 0:00:00,"-99,1641515","19,3574019"
POINT(-99.175275 19.468927),67,HDX Circus Bar,25/03/2020 0:00:00,"-99,175275","19,468927"
POINT(-99.174193 19.349502),66,Tlacuache Club,25/03/2020 0:00:00,"-99,174193","19,349502"
POINT(-99.151518 19.431412),68,Tenxokotl,25/03/2020 0:00:00,"-99,1515177","19,4314117"
POINT(-99.145786 19.293061),21,Casa Isa,17/03/2020 0:00:00,"-99,145786","19,293061"
POINT(-99.176373 19.40905),16,Pérfida Bistro Café,17/03/2020 0:00:00,"-99,176373","19,40905"
POINT(-99.172807 19.347925),15,Terminal Coyoacán,17/03/2020 0:00:00,"-99,1728068","19,3479253"
POINT(-99.138874 19.433917),26,Rock Son,17/03/2020 0:00:00,"-99,138874","19,433917"
POINT(-99.154556 19.417718),24,Metal brothers,17/03/2020 0:00:00,"-99,15455575","19,41771824"
POINT(-99.160466 19.406636),23,Foro La Nabe,17/03/2020 0:00:00,"-99,160466","19,406636"
POINT(-99.149872 19.395627),25,V&S Galery Oficial,17/03/2020 0:00:00,"-99,149872","19,395627"
POINT(-99.15233 19.427428),20,Corral de Comedias De La Ciudad De México,17/03/2020 0:00:00,"-99,15233","19,427428"
POINT(-99.145659 19.429508),17,Casa KatDragon,17/03/2020 0:00:00,"-99,145659","19,429508"
POINT(-99.16725 19.415167),27,El Bataclán,17/03/2020 0:00:00,"-99,16725","19,415167"
POINT(-99.168211 19.444799),18,Sótano Foro,17/03/2020 0:00:00,"-99,1682115","19,4447994"
POINT(-99.156484 19.430401),19,Teatro El Milagro,17/03/2020 0:00:00,"-99,1564838","19,4304007"
POINT(-98.966027 19.222967),22,Teatro Miquiztli Casa de Cultura,17/03/2020 0:00:00,"-98,966027","19,222967"
POINT(-99.141205 19.41634),70,Foro El Mictlán,28/03/2020 0:00:00,"-99,141205","19,41634"
POINT(-99.145104 19.433238),43,Bósforo,20/03/2020 0:00:00,"-99,1451037","19,4332378"
POINT(-99.109838 19.299922),45,El Forito de Coapa,20/03/2020 0:00:00,"-99,109838","19,299922"
POINT(-99.178911 19.412901),46,Casa Tomada,20/03/2020 0:00:00,"-99,17891052","19,41290062"
POINT(-99.166912 19.416617),44,Foro Bizarro,20/03/2020 0:00:00,"-99,1669119","19,416617"
POINT(-99.149118 19.363979),170,Café Aurora,5/04/2020 0:00:00,"-99,1491178","19,3639795"
POINT(-99.009782 19.350768),169,Bhoga Café,5/04/2020 0:00:00,"-99,0097821","19,3507676"
POINT(-99.154204 19.437062),1,Foro La Cantera,4/03/2020 0:00:00,"-99,154204","19,437062"
